,observed,expected
0,8815.156,8.755916079
1,13492.244,28374.90335
2,50645.785,41361.00425
3,25762.01,44545.92422
4,22828.547,75406.57905
5,13488.041,3977.3007030000003
6,7933.9463,1609.377666
7,15936.79,1614.459949
8,25286.35,33566.72679
9,12293.056,883.243083
10,10360.074,261.8781312
11,19516.93,13209.946569999998
12,11371.206,8783.324588
13,27563.484,10189.163120000001
14,12258.928,93.60655529000002
15,8124.5845,0.0
16,20837.36,2663.359551
17,13869.592,34.67459213
18,16032.481,112.8785032
19,12092.61,49216.518249999994
20,18648.686,9528.883563
21,12534.38,8102.091093999999
22,17083.303,16813.8485
23,9665.683,66.50671582
24,7702.0513,499.6241824
25,20809.895,19664.12907
26,8840.021,7896.557584999999
27,8234.065,4760.892165
28,18855.242,10485.25029
29,14242.394,14062.05985
30,19585.562,0.0
31,14064.845,20030.10459
32,18531.342,2343.553344
33,17850.332,15401.08347
34,11328.997,10344.25463
35,17771.023,4600.862422
36,21902.938,14837.476769999997
37,21166.059,23819.804490000002
38,27998.604,21164.10474
39,16989.533,12443.89299
40,15820.309,0.0
41,24855.684,417.52961039999997
42,6287.0127,185.9491986
43,21472.104,0.0
44,20052.617,43015.50585
45,22421.428,9418.73466
46,14791.8,2384.626033
47,15387.781,21171.988119999998
48,29224.29,3068.582172
49,6067.514,0.0
50,12752.306,0.9946796109999998
51,16104.413,36680.36139
52,15453.626,8156.44789
53,7643.256,0.0
54,14355.578,16567.50389
55,9414.318,9081.09498
56,18567.725,4178.894949
57,16634.318,666.3757115
58,13098.36,9488.365451
59,26388.19,62024.27898999999
60,18064.691,9569.817614
61,19793.68,27658.463669999997
62,16590.768,8212.386714
63,16547.246,15305.97831
64,25566.842,54.54288609
65,17970.516,21640.5475
66,15232.045,2232.893822
67,24249.873,21674.64901
68,2891.3093,0.0
69,14154.996,1090.855866
70,14586.517,364.40794800000003
71,12694.59,13965.673560000001
72,20112.367,6606.491717
73,15869.185,28936.31115
74,9251.17,18467.251119999997
75,18116.695,4462.246083
76,17251.807,1426.192511
77,19984.033,10387.25439
78,16081.073,5476.520567000001
79,24525.23,11124.97909
80,11182.497,2120.370536
81,6687.9917,2730.819068
82,38440.535,31719.08142
83,15788.419,19973.74161
84,29044.543,6360.680238
85,16733.486,486.5666592
86,16048.76,278.752501
87,15435.235,0.0
88,14863.497,19531.17082
89,20190.916,12742.90073
90,16516.037,0.0
91,23514.812,22225.398090000002
92,17177.846,1940.1546239999998
93,17640.324,1106.245254
94,13249.937,865.6221883999999
95,20733.494,52188.126710000004
96,22909.287,19746.14189
97,15897.036,18397.55293
98,18921.734,20061.724830000003
99,32119.826,14119.94436
100,6170.545,0.0
101,7378.0977,18948.288930000002
102,14460.08,194.82935229999998
103,10380.541,2355.400452
104,18222.637,12191.015879999999
105,17028.2,27707.37792
106,18409.758,21686.83685
107,14325.486,0.0
108,12846.503,17378.44738
109,25337.654,2640.261885000001
110,20979.582,36443.92302
111,25721.129,44738.0363
112,3674.0684,0.0
113,9608.445,0.0
114,18062.262,15823.065219999999
115,16503.098,601.5562991
116,17098.252,13825.338909999999
117,19934.566,15619.44326
118,17617.03,16436.73836
119,5576.1997,9329.656952
120,15338.662,4413.20911
121,12157.961,1369.2896830000002
122,13769.044,60.37462559
123,16782.293,114.42185800000001
124,5890.4497,1329.4575410000002
125,16198.8955,0.0
126,12690.339,7747.023963000001
127,14027.883,588.2424529
128,18361.691,37568.20371
129,12889.208,19566.28305
130,8821.051,0.309176269
131,15531.941,13481.09894
132,20891.1,3825.119154
133,4187.459,0.0
134,19611.123,15787.909290000001
135,14534.816,10350.12518
136,23161.977,40350.79195
137,12707.415,7456.867018000001
138,12564.842,54443.10795
139,17111.703,33802.99272
140,34291.395,98681.84533
141,20396.326,19370.33555
142,15301.78,7570.560136
143,11058.511,210.57010899999997
144,13620.024,2570.349875
145,27412.156,4911.316382
146,8384.904,302.040278
147,53200.863,13105.67822
148,11682.261,22290.762099999996
149,16187.509,3200.264434
150,12120.529,0.0
151,19790.834,23167.578080000003
152,3736.1226,182.38018540000002
153,19370.107,3114.1534389999997
154,23270.453,10204.98895
155,10016.929,6363.246607
156,18311.754,23595.77927
157,24282.732,22247.92444
158,15173.983,17689.58397
159,19575.568,179.8256955
160,17984.26,59164.91669
161,10410.248,0.0
162,7387.8447,3987.0690340000006
163,20863.66,69009.83736
164,2177.9587,0.0
165,10641.737,8210.99211
166,12635.566,7240.5579769999995
167,15460.034,4341.532061999999
168,22703.059,40223.95928
169,17162.363,23058.671230000004
170,20535.559,19072.9731
171,13465.521,9444.545718000001
172,11814.397,12314.758890000001
173,25531.201,23744.27032
174,9963.346,4042.0396360000004
175,42062.36,75921.82937
176,41319.45,42399.19187
177,22639.777,11223.04593
178,11539.208,22.385344779999997
179,10627.858,9666.039712
180,19065.15,31857.69862
181,14672.848,8534.188054
182,24175.504,416.7696894
183,19814.514,52882.88903
184,15194.034,16.40478202
185,15482.514,15783.939349999999
186,8833.905,0.0
187,6517.6396,41.99632761
188,28555.793,97994.41633
189,6448.1543,0.0
190,19117.287,23.6119324
191,23508.6,19140.94515
192,16086.318,46241.00335
193,11636.776,7791.46315
194,13555.44,11012.672209999999
195,13917.851,3152.140781
196,18365.111,26220.806419999997
197,19793.498,6042.3161549999995
198,14347.134,15885.125159999998
199,19582.717,7339.7832
200,14638.67,1416.7376179999999
201,6247.387,1791.6317530000001
202,17097.176,0.612067428
203,15618.019,12994.785440000001
204,13899.453,0.0
205,23363.639,91525.53567
206,18712.861,4029.196914
207,18759.607,39043.13849
208,14501.563,46872.398030000004
209,23621.947,20702.79204
210,11204.431,2881.3644850000005
211,10193.358,5724.998545
212,25251.855,50.3562494
213,10108.343,1540.8248409999999
214,18046.309,0.0
215,13437.117,10916.41284
216,17278.559,11981.555890000003
217,11473.636,301.9912185
218,11884.451,1019.677927
219,12343.091,33982.16588
220,8109.7666,1610.837786
221,13873.077,10421.11956
222,23125.18,15208.47051
223,47246.094,54.43498273000001
224,17015.629,13598.220350000001
225,16756.674,24746.981309999996
226,31471.803,120672.57169999999
227,18915.701,25610.80599
228,11150.97,6968.676718000001
229,18708.246,59881.310269999994
230,16674.936,16080.812030000001
231,22131.36,2996.026213
232,7958.1973,11317.23963
233,16893.41,12685.00525
234,20471.22,179.5417962
235,15245.309,13096.13855
236,9830.531,9094.881873999999
