,subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg,dist_to_stream_stdev,dist_to_stream_skewness,dist_to_stream_kurtosis,levee_length_km,levee_low_crest_elevation_m,lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr06h,orb100yr12h,orb100yr24h,orb25yr06h,orb25yr12h,orb25yr24h,orb2yr06h,orb2yr12h,orb2yr24h,orb50yr06h,orb50yr12h,orb50yr24h,orb100yr06ha_am,orb100yr12ha_am,orb100yr24ha_am,orb25yr06ha_am,orb25yr12ha_am,orb25yr24ha_am,orb2yr06ha_am,orb2yr12ha_am,orb2yr24ha_am,orb50yr06ha_am,orb50yr12ha_am,orb50yr24ha_am,flow_0_exceedence_prob,flow_0.1_exceedence_prob,flow_1_exceedence_prob,flow_10_exceedence_prob,flow_50_exceedence_prob,slope_of_flow_duration_curve,mean_policy,mean_claim,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
1,51202080201,0.5434022535167324,0.36638482818135365,0.3705037569344174,0.5608110694179499,0.3922083423112123,0.055040106887044596,0.827977479763886,0.5038534732272868,0.0015179644498752266,0.5753636790205332,0.5583035389356846,0.010314499849708354,0.0,0.0,0.0,0.01665343605989163,0.0,0.15789473684210525,0.04887900847826876,0.0,0.07601014426291101,0.05974895204090595,0.30702685075707553,0.007932166898420615,0.3348385640099345,0.6775441142897853,0.07396143691934455,0.07845579932676823,0.3746686219155714,0.04092934094108821,0.0,0.0,0.09231548032114474,0.0017741526037240393,0.0002972422400995723,0.0,0.6339690465991241,0.18971454566173124,0.0016054958208099306,0.7547038327526132,0.758688524590164,0.6222802436901653,0.7705817782656421,0.7581261950286806,0.7000000000000002,0.6672932330827068,0.6900149031296574,0.7220873786407767,0.7542754275427539,0.7672131147540981,0.6545553145336225,0.7550734779566128,0.758393680052666,0.6221057230231541,0.7706725468577731,0.7579250720461097,0.7001338688085674,0.6673469387755104,0.6909385113268605,0.7220026350461137,0.7540687160940323,0.7670781893004115,0.6543277082199235,0.11863049212632605,0.10642406934873637,0.1235881202396558,0.18933093790847128,0.24428651377281163,0.8952869893038885,0.28543110362505514,0.09268703857104564,0.02399043319123246,0.00734986784127484
2,51201110302,0.4454498654894868,0.17811576158468934,0.6878196803233555,0.21493224749839424,0.1248695947403312,0.16193910808915218,0.4350955057723872,0.36093509983343525,0.012731546901510894,0.13705734269421993,0.16996246027944686,0.059630934683436734,0.0002697599136768276,0.0,0.0,0.06409922849089839,0.0,0.03508771929824561,0.056960299196410616,0.070540608826191,0.028642624689898283,0.027273267954337207,0.2910415036213217,0.014199923094860139,0.21607586362610068,0.68171380246887,0.11847405651765298,0.1092141859430757,0.46064057408088244,0.13896600136426823,0.0,0.0,0.0972203532844506,0.04168910030315009,0.0026915646145806906,0.0004765921239881667,0.16075270443099995,0.35360075637312766,0.021574451622548105,0.7763066202090592,0.7993442622950822,0.6610095735422106,0.8002195389681663,0.7839388145315485,0.6993333333333336,0.7537593984962401,0.7347242921013413,0.6941747572815533,0.7794779477947795,0.8024590163934424,0.6740780911062907,0.7767669699090272,0.7992100065832783,0.6609873307121013,0.8004410143329657,0.7838616714697402,0.6994645247657294,0.7530612244897958,0.7346278317152102,0.6943346508563901,0.7793851717902349,0.8024691358024691,0.6739248775176918,0.07236189818710831,0.05751941286035422,0.054065776849781026,0.11875024234022305,0.2468783536991234,0.9388116033339078,0.2965876386875549,0.02093535412778381,0.19126752419518414,0.01688890021663626
3,51201060507,0.19644952219168693,0.1510378657440608,0.41002441616333374,0.1686498889854537,0.047933237671992715,0.19181577519363768,0.28264548303093373,0.1736448197490742,0.03026613706137436,0.09722517840929364,0.07380066056312813,0.043996784990035495,0.0,0.0,0.0,0.010126805250510486,0.0,0.07017543859649122,0.03449340002741337,0.03858784304760134,0.06313643370591583,0.10694757497136008,0.19242575358372965,0.015642486105968426,0.22668773989613908,0.6904006527029729,0.3871921889885374,0.3654688415638115,0.32174896379445955,0.01934391990116261,0.0,0.0,0.06009882023907688,0.02054517004246817,0.0056016891391982345,0.002999646887062581,0.019238587463634382,0.363427953514035,0.019505880343616434,0.5254355400696866,0.5370491803278692,0.36510008703220187,0.5488474204171236,0.49999999999999956,0.39333333333333353,0.5263157894736841,0.45007451564828616,0.3810679611650487,0.5256525652565256,0.5229508196721309,0.3709327548806942,0.5255423372988104,0.5371955233706385,0.3652249890781998,0.5490628445424481,0.4995196926032657,0.39357429718875503,0.526530612244898,0.449838187702265,0.38076416337285934,0.5253164556962022,0.522633744855967,0.3707131192161133,0.03389729722409345,0.02359457399948291,0.02804854741524524,0.08169197623916831,0.29350863867657623,0.9762842291806462,0.3169174226217216,0.22164432883894397,0.20244812042296473,0.17661507468705978
4,71200010303,0.4125353015409327,0.2730515285385332,0.4160339079074873,0.10707132043267423,0.04845505059015977,0.24546611855772432,0.306533044086174,0.11091473568523914,0.02603735917442564,0.052278988230913204,0.030987414097540304,0.06440019155766374,0.00674399784192069,0.009397337004026639,0.0041356492969396195,0.014014210314067656,0.0,0.07017543859649122,0.08366095041345681,0.13242270720835977,0.12477001364723823,0.12328238797661371,0.35064190975574944,0.05643464692081254,0.2425491081508241,0.7039521392849979,0.28540106603979704,0.34989595767166953,0.4708067946419209,0.08300230698745172,0.0,0.0,0.09490397278622614,0.09747840822399247,0.05485767886153437,0.06750417494820049,0.07471307434391211,0.4224997247602067,0.08205513068587837,0.47247386759581866,0.4839344262295082,0.2728459530026113,0.4632272228320522,0.4120458891013383,0.28466666666666685,0.3909774436090223,0.31296572280178836,0.26941747572815533,0.4518451845184517,0.4467213114754096,0.2695227765726682,0.4730580825752275,0.4838709677419355,0.27304499781563996,0.46306504961411266,0.4121037463976944,0.285140562248996,0.38979591836734695,0.3139158576051777,0.2700922266139658,0.4520795660036163,0.44609053497942375,0.26946107784431117,0.005381982908714534,0.004445090558685413,0.009591545258165619,0.025415128430966032,0.05623594704478119,0.9974300909528575,0.4756833210957141,0.2605826777203458,0.2537157946519792,0.00026776017958154985
5,50800030717,0.5238063071369219,0.28053032406191813,0.506076455287183,0.6143365639036822,0.3719788070219181,0.08669375807737488,0.6718114578749089,0.39648077039598323,0.003916573579247902,0.5219691656334465,0.5011033039102192,0.2721036521628225,0.002697599136768276,0.029777226715021095,0.03970223325062035,0.7645084999446481,0.0,0.07017543859649122,0.07742897296099302,0.002419836028079936,0.10175204017923742,0.08284872348503272,0.2782389071862174,0.03704801087127855,0.19338451117633776,0.6480783176852649,0.0962664476283679,0.06591398004417633,0.310594798875642,0.027079899162459346,0.0,0.0,0.13007624897275663,0.048011427678779195,0.030813276753312,0.012212186047277888,0.5028245816910156,0.13611258277609184,0.03039302997272529,0.09825783972125457,0.12459016393442646,0.14229765013054863,0.2261251372118549,0.2590822179732313,0.2573333333333334,0.5169172932330826,0.5424739195231001,0.47208737864077666,0.1314131413141313,0.17868852459016393,0.18546637744034733,0.09867039888033613,0.12442396313364057,0.14242027086063747,0.22601984564498334,0.2593659942363109,0.2576974564926373,0.5163265306122451,0.5420711974110031,0.4729907773386035,0.13110307414104883,0.17860082304526737,0.18562874251496986,0.053348706954587925,0.048996804415718805,0.03178537588327014,0.12563439697409765,0.3833984380890178,0.9403844518133577,0.2885896345657693,0.21408056685297924,0.4746885455020506,0.0603469762757294
7,51401010601,0.26537708258071474,0.03440873357394281,1.0,0.53340341933785,0.3071015393589348,0.1074951583207397,0.4623403429829699,0.21578116356446048,0.011084579421189261,0.41018307535408105,0.2767084077539444,0.02729116046113374,0.0018883193957377933,0.0,0.0,0.012844153442749301,0.0,0.10526315789473684,0.019669628354469153,0.010656430228477115,0.04317389454607739,0.06215806346175949,0.2756567505963418,0.012943575879281351,0.28048092120117407,0.7164612038222513,0.11687091839379903,0.1300247547535095,0.4467029837635712,0.08990159935307981,0.0,0.0,0.05044833832922864,0.002386811147616872,0.00045183452832996937,6.444346193783254e-05,0.2454986877514423,0.20438520777626532,0.0032891438527558117,0.575609756097561,0.6629508196721314,0.6335944299390777,0.6256860592755213,0.6883365200764815,0.7040000000000002,0.6842105263157894,0.7123695976154996,0.7439320388349513,0.5868586858685867,0.679508196721311,0.661605206073753,0.5759272218334499,0.6629361421988151,0.6334643949322847,0.6251378169790516,0.6887608069164264,0.7041499330655956,0.6836734693877555,0.7119741100323624,0.7444005270092227,0.5867992766726942,0.6790123456790127,0.6614044637996734,0.10740405317537552,0.12692453690593353,0.16681971479148364,0.13331250716629356,0.11713169140388886,0.8827740224341107,0.4016115466942445,0.34484637069890084,0.27081730394377396,0.058009152300903685
9,51202050503,0.5028828832986645,0.5774138987264713,0.1435887784321025,0.30518262192276924,0.037599704821602936,0.34525628596843405,0.24640295832903045,0.22522082334865673,0.038644790007121115,0.10592232437007217,0.1635582104488496,0.23182421762270422,0.016185594820609658,0.0,0.0,0.014083761897688635,0.0,0.3684210526315789,0.12794226886973636,0.09119089207578637,0.13285890302725578,0.11205935372863436,0.27557919043999163,0.09467365413860902,0.21223752540076765,0.5600978971065811,0.254636801814232,0.21727503489129812,0.3169667285914905,0.0252532448463692,0.0,0.0,0.12161724646370055,0.09245227577367311,0.0764275187168637,0.03664964539168784,0.0538060110459469,0.6115142251378987,0.06726922235625092,0.3965156794425089,0.395409836065574,0.20670147954743268,0.399560922063666,0.41586998087954097,0.30400000000000027,0.3984962406015038,0.4724292101341283,0.470873786407767,0.3816381638163815,0.4024590163934425,0.2424078091106292,0.396780965710287,0.3949967083607637,0.20664045434687628,0.39911797133406823,0.4159462055715655,0.3045515394912983,0.3979591836734695,0.4724919093851132,0.47167325428195017,0.3815551537070525,0.40246913580246924,0.24224278715296643,0.09378942082631216,0.08296006712391221,0.10218264628824911,0.18974332451774067,0.26142858804608615,0.9263847225833719,0.36472985748118675,0.17831742916937288,0.27743375926866437,0.2127881306975599
10,51202030203,0.3250329607687511,0.14674071660678473,0.6165204139377692,0.3107327922564939,0.3227723066410377,0.023688161250700293,0.8574286203340102,0.6509144067642959,0.00119666729453823,0.416068475924787,0.3994651649605793,0.0877439038464608,0.009981116806042621,0.0,0.0,0.011153476536672096,0.05555555555555555,0.21052631578947367,0.03277007869329897,0.00583862171718043,0.09251943488278293,0.11000909082453915,0.274475449753469,0.00771037117307098,0.23746895461729509,0.38705583767457297,0.007728601966490653,0.00967607783696052,0.3965939884253439,0.06317999387418327,0.0,0.0,0.055140120826374636,0.004386653457432305,8.492630039270293e-05,0.0,0.45740684130200804,0.1789787515476916,0.0037824136547302857,0.9282229965156796,0.9108196721311477,0.6370757180156659,0.9297475301866083,0.889101338432122,0.7033333333333336,0.7593984962406015,0.773472429210134,0.7257281553398061,0.9270927092709265,0.9131147540983604,0.663774403470716,0.9286214135759274,0.9104674127715602,0.6369593709043246,0.9294377067254689,0.8895292987512002,0.7034805890227576,0.7591836734693875,0.7734627831715208,0.7259552042160742,0.9276672694394215,0.9127572016460901,0.663581927054981,0.11780199327719876,0.06942433303253545,0.07944594729292084,0.13686888890696644,0.1739962113297354,0.9322398076474221,0.36735620919368706,0.3733358003411169,0.18182488320752688,0.022429878075759586
12,51201130801,0.348708904551061,0.11587844792137258,0.7664539446421633,0.21758253598970406,0.19168586571572233,0.15222775551999002,0.41136590398469763,0.4579677385637552,0.014402941123904684,0.1444518574817645,0.21125024950880295,0.23946412706013698,0.05152414351227407,0.0,0.0,0.054290094552730435,0.0,0.10526315789473684,0.036425247573607406,0.0,0.04434523645083403,0.05165855965681376,0.38153233018028626,0.015475529516981454,0.2227929555204335,0.6233381679616863,0.06232391607491426,0.05036460316547409,0.3238215146642175,0.022074189726924372,0.006133667584933446,0.38458073551236616,0.07058051733242297,0.01911812277527477,0.005216099861688696,0.0010800040404045726,0.17632250715408365,0.3538997947724405,0.01246856114022058,0.7505226480836238,0.8177049180327871,0.7284595300261096,0.8660812294182216,0.8871892925430207,0.8466666666666667,0.9135338345864659,0.882265275707899,0.8859223300970873,0.8001800180018002,0.8631147540983606,0.7803687635574836,0.7508747375787266,0.8176431863067806,0.7282656181738747,0.8654906284454245,0.8876080691642647,0.8467202141900936,0.9122448979591842,0.8818770226537218,0.8866930171277998,0.8001808318264017,0.8625514403292183,0.7800762112139354,0.019670809316904996,0.025322096548773498,0.04644765886540375,0.13481140927972596,0.33827259211134575,0.9838528300193521,0.4452949931833091,0.06198281917491038,0.3518473402222558,0.10318357253694739
14,51202060310,0.6429300813548071,0.3368265481112862,0.49445046662543013,0.23434108712032248,0.15689378690787553,0.42122770759652417,0.2281289547167519,0.3120200351781847,0.04410156880210904,0.06708644107236159,0.16323504595916433,0.2277660724567527,0.01699487456164014,0.043877393234185894,0.0024813895781637717,0.03382685090632372,0.0,0.3508771929824561,0.09577013632855905,0.04565468793909689,0.11579709264098924,0.07889283748137671,0.32119052853980307,0.0252756299112404,0.384849853240009,0.5329949239425318,0.07488641090043095,0.08184052627199893,0.4243405387286933,0.07773117055104053,0.0,0.0,0.13411872416682213,0.013726397268384915,0.0020691258877068397,0.0005112408673375083,0.4163707668001023,0.4741590227044218,0.0072792213732194785,0.6146341463414635,0.6288524590163935,0.5060922541340296,0.611416026344676,0.6242829827915872,0.5533333333333332,0.5319548872180451,0.593144560357675,0.5716019417475731,0.602160216021602,0.6303278688524592,0.5216919739696313,0.6151154653603919,0.628703094140882,0.5058977719528177,0.6108048511576629,0.6243996157540828,0.5535475234270413,0.5306122448979593,0.5938511326860838,0.5718050065876157,0.6021699819168171,0.6304526748971195,0.521502449646162,0.10366245760810977,0.09763758328249236,0.11159156604729766,0.17268251343611388,0.24550703945619615,0.9081907529515608,0.412626131166602,0.13669413964071084,0.4039389335338767,0.2202084049543616
