,subwatershed,area,relief,avg_slope,drainage_density,relief_ratio,ruggedness,aae_area,buildings_aae_count,water_bodies_area,population,population_density,avg_median_income,housing_density,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr06h,orb100yr12h,orb100yr24h,orb25yr06h,orb25yr12h,orb25yr24h,orb2yr06h,orb2yr12h,orb2yr24h,orb50yr06h,orb50yr12h,orb50yr24h,orb100yr06ha_am,orb100yr12ha_am,orb100yr24ha_am,orb25yr06ha_am,orb25yr12ha_am,orb25yr24ha_am,orb2yr06ha_am,orb2yr12ha_am,orb2yr24ha_am,orb50yr06ha_am,orb50yr12ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
1,51202080201,0.5434022535167324,0.6094674556213018,0.40792210064790413,0.5038534732272868,0.6701729778060673,0.6344669916780992,0.010314499849708354,0.0,0.01665343605989163,0.07601014426291101,0.05974895204090595,0.30702685075707553,0.007932166898420615,0.0017741526037240393,0.0002972422400995723,0.0,0.6339690465991241,0.18971454566173124,0.0016054958208099306,0.7547038327526132,0.758688524590164,0.6222802436901653,0.7705817782656421,0.7581261950286806,0.7000000000000002,0.6672932330827068,0.6900149031296574,0.7220873786407767,0.7542754275427539,0.7672131147540981,0.6545553145336225,0.7550734779566128,0.758393680052666,0.6221057230231541,0.7706725468577731,0.7579250720461097,0.7001338688085674,0.6673469387755104,0.6909385113268605,0.7220026350461137,0.7540687160940323,0.7670781893004115,0.6543277082199235,0.02399043319123246,0.00734986784127484
2,51201110302,0.4454498654894868,0.3136094674556213,0.16911070629872207,0.36093509983343525,0.2076761326692523,0.2521906215842543,0.059630934683436734,0.0002697599136768276,0.06409922849089839,0.028642624689898283,0.027273267954337207,0.2910415036213217,0.014199923094860139,0.04168910030315009,0.0026915646145806906,0.0004765921239881667,0.16075270443099995,0.35360075637312766,0.021574451622548105,0.7763066202090592,0.7993442622950822,0.6610095735422106,0.8002195389681663,0.7839388145315485,0.6993333333333336,0.7537593984962401,0.7347242921013413,0.6941747572815533,0.7794779477947795,0.8024590163934424,0.6740780911062907,0.7767669699090272,0.7992100065832783,0.6609873307121013,0.8004410143329657,0.7838616714697402,0.6994645247657294,0.7530612244897958,0.7346278317152102,0.6943346508563901,0.7793851717902349,0.8024691358024691,0.6739248775176918,0.19126752419518414,0.01688890021663626
3,51201060507,0.19644952219168693,0.20710059171597633,0.08875878345703979,0.1736448197490742,0.12342348144288279,0.10225638078278976,0.043996784990035495,0.0,0.010126805250510486,0.06313643370591583,0.10694757497136008,0.19242575358372965,0.015642486105968426,0.02054517004246817,0.0056016891391982345,0.002999646887062581,0.019238587463634382,0.363427953514035,0.019505880343616434,0.5254355400696866,0.5370491803278692,0.36510008703220187,0.5488474204171236,0.49999999999999956,0.39333333333333353,0.5263157894736841,0.45007451564828616,0.3810679611650487,0.5256525652565256,0.5229508196721309,0.3709327548806942,0.5255423372988104,0.5371955233706385,0.3652249890781998,0.5490628445424481,0.4995196926032657,0.39357429718875503,0.526530612244898,0.449838187702265,0.38076416337285934,0.5253164556962022,0.522633744855967,0.3707131192161133,0.20244812042296473,0.17661507468705978
4,71200010303,0.4125353015409327,0.08875739644970414,0.051535221145108355,0.11091473568523914,0.04483983403626185,0.034596519917919226,0.06440019155766374,0.00674399784192069,0.014014210314067656,0.12477001364723823,0.12328238797661371,0.35064190975574944,0.05643464692081254,0.09747840822399247,0.05485767886153437,0.06750417494820049,0.07471307434391211,0.4224997247602067,0.08205513068587837,0.47247386759581866,0.4839344262295082,0.2728459530026113,0.4632272228320522,0.4120458891013383,0.28466666666666685,0.3909774436090223,0.31296572280178836,0.26941747572815533,0.4518451845184517,0.4467213114754096,0.2695227765726682,0.4730580825752275,0.4838709677419355,0.27304499781563996,0.46306504961411266,0.4121037463976944,0.285140562248996,0.38979591836734695,0.3139158576051777,0.2700922266139658,0.4520795660036163,0.44609053497942375,0.26946107784431117,0.2537157946519792,0.00026776017958154985
5,50800030717,0.5238063071369219,0.4497041420118343,0.13722932191489395,0.39648077039598323,0.4136041124416065,0.3881243968501236,0.2721036521628225,0.002697599136768276,0.7645084999446481,0.10175204017923742,0.08284872348503272,0.2782389071862174,0.03704801087127855,0.048011427678779195,0.030813276753312,0.012212186047277888,0.5028245816910156,0.13611258277609184,0.03039302997272529,0.09825783972125457,0.12459016393442646,0.14229765013054863,0.2261251372118549,0.2590822179732313,0.2573333333333334,0.5169172932330826,0.5424739195231001,0.47208737864077666,0.1314131413141313,0.17868852459016393,0.18546637744034733,0.09867039888033613,0.12442396313364057,0.14242027086063747,0.22601984564498334,0.2593659942363109,0.2576974564926373,0.5163265306122451,0.5420711974110031,0.4729907773386035,0.13110307414104883,0.17860082304526737,0.18562874251496986,0.4746885455020506,0.0603469762757294
7,51401010601,0.26537708258071474,0.6923076923076923,0.3642941403433581,0.21578116356446048,0.5749272506484181,0.3901751129460355,0.02729116046113374,0.0018883193957377933,0.012844153442749301,0.04317389454607739,0.06215806346175949,0.2756567505963418,0.012943575879281351,0.002386811147616872,0.00045183452832996937,6.444346193783254e-05,0.2454986877514423,0.20438520777626532,0.0032891438527558117,0.575609756097561,0.6629508196721314,0.6335944299390777,0.6256860592755213,0.6883365200764815,0.7040000000000002,0.6842105263157894,0.7123695976154996,0.7439320388349513,0.5868586858685867,0.679508196721311,0.661605206073753,0.5759272218334499,0.6629361421988151,0.6334643949322847,0.6251378169790516,0.6887608069164264,0.7041499330655956,0.6836734693877555,0.7119741100323624,0.7444005270092227,0.5867992766726942,0.6790123456790127,0.6614044637996734,0.27081730394377396,0.058009152300903685
9,51202050503,0.5028828832986645,0.378698224852071,0.07620124674259618,0.22522082334865673,0.14908453533348942,0.21935373671311892,0.23182421762270422,0.016185594820609658,0.014083761897688635,0.13285890302725578,0.11205935372863436,0.27557919043999163,0.09467365413860902,0.09245227577367311,0.0764275187168637,0.03664964539168784,0.0538060110459469,0.6115142251378987,0.06726922235625092,0.3965156794425089,0.395409836065574,0.20670147954743268,0.399560922063666,0.41586998087954097,0.30400000000000027,0.3984962406015038,0.4724292101341283,0.470873786407767,0.3816381638163815,0.4024590163934425,0.2424078091106292,0.396780965710287,0.3949967083607637,0.20664045434687628,0.39911797133406823,0.4159462055715655,0.3045515394912983,0.3979591836734695,0.4724919093851132,0.47167325428195017,0.3815551537070525,0.40246913580246924,0.24224278715296643,0.27743375926866437,0.2127881306975599
10,51202030203,0.3250329607687511,0.3668639053254438,0.3768806387591204,0.6509144067642959,0.5003258557912853,0.4713276384734313,0.0877439038464608,0.009981116806042621,0.011153476536672096,0.09251943488278293,0.11000909082453915,0.274475449753469,0.00771037117307098,0.004386653457432305,8.492630039270293e-05,0.0,0.45740684130200804,0.1789787515476916,0.0037824136547302857,0.9282229965156796,0.9108196721311477,0.6370757180156659,0.9297475301866083,0.889101338432122,0.7033333333333336,0.7593984962406015,0.773472429210134,0.7257281553398061,0.9270927092709265,0.9131147540983604,0.663774403470716,0.9286214135759274,0.9104674127715602,0.6369593709043246,0.9294377067254689,0.8895292987512002,0.7034805890227576,0.7591836734693875,0.7734627831715208,0.7259552042160742,0.9276672694394215,0.9127572016460901,0.663581927054981,0.18182488320752688,0.022429878075759586
12,51201130801,0.348708904551061,0.3195266272189349,0.24181585040573236,0.4579677385637552,0.21952739660363896,0.30833380373839114,0.23946412706013698,0.05152414351227407,0.054290094552730435,0.04434523645083403,0.05165855965681376,0.38153233018028626,0.015475529516981454,0.01911812277527477,0.005216099861688696,0.0010800040404045726,0.17632250715408365,0.3538997947724405,0.01246856114022058,0.7505226480836238,0.8177049180327871,0.7284595300261096,0.8660812294182216,0.8871892925430207,0.8466666666666667,0.9135338345864659,0.882265275707899,0.8859223300970873,0.8001800180018002,0.8631147540983606,0.7803687635574836,0.7508747375787266,0.8176431863067806,0.7282656181738747,0.8654906284454245,0.8876080691642647,0.8467202141900936,0.9122448979591842,0.8818770226537218,0.8866930171277998,0.8001808318264017,0.8625514403292183,0.7800762112139354,0.3518473402222558,0.10318357253694739
14,51202060310,0.6429300813548071,0.33727810650887574,0.2046267987596064,0.3120200351781847,0.1136747585510651,0.24388119175845208,0.2277660724567527,0.01699487456164014,0.03382685090632372,0.11579709264098924,0.07889283748137671,0.32119052853980307,0.0252756299112404,0.013726397268384915,0.0020691258877068397,0.0005112408673375083,0.4163707668001023,0.4741590227044218,0.0072792213732194785,0.6146341463414635,0.6288524590163935,0.5060922541340296,0.611416026344676,0.6242829827915872,0.5533333333333332,0.5319548872180451,0.593144560357675,0.5716019417475731,0.602160216021602,0.6303278688524592,0.5216919739696313,0.6151154653603919,0.628703094140882,0.5058977719528177,0.6108048511576629,0.6243996157540828,0.5535475234270413,0.5306122448979593,0.5938511326860838,0.5718050065876157,0.6021699819168171,0.6304526748971195,0.521502449646162,0.4039389335338767,0.2202084049543616
